Candidate,CAND_ID,District,Party,State,Emily Endorsed?,Partisan Lean,TTL_RECEIPTS,TRANS_FROM_AUTH,CAND_CONTRIB,TTL_INDIV_CONTRIB,OTHER_POL_CMTE_CONTRIB,Primary %,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Race Type,CAND_ICI,Num_Unique_Contributions
Amanda Howland,H6IL06166,U.S. House Illinois District 6,D,IL,-1.0,0.67000002,198264.19,0.0,39522.47,117612.52,500.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,115
Jim Walz,H6IL14129,U.S. House Illinois District 14,D,IL,-1.0,-7.96,22919.33,0.0,0.0,19669.33,2250.0,10.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,5
Junius Rodriguez,H6IL18161,U.S. House Illinois District 18,D,IL,0.0,-28.83,78311.3,0.0,1926.01,72725.29,2300.0,41.700001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,9
Alan LaPolice,H4KS01059,U.S. House Kansas District 1,D,KS,0.0,-46.91,215396.38,0.0,0.0,211196.38,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,60
Jay Sidie,H6KS03241,U.S. House Kansas District 3,D,KS,-1.0,-4.0100002,579741.67,0.0,0.0,432491.67,92250.0,2.9000001,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,33
Amie Hoeber,H6MD06212,U.S. House Maryland District 6,R,MD,-1.0,11.89,906628.86,2359.84,564000.0,297618.61,39400.0,67.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,O,142
David Trone,H6MD08549,U.S. House Maryland District 6,D,MD,-1.0,11.89,18468367.89,0.0,17413171.51,553273.79,1000.0,40.299999,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,291
Gretchen Driskell,H6MI07223,U.S. House Michigan District 7,D,MI,1.0,-16.059998999999998,2719885.42,93.24,50000.0,2045094.1,458029.98,85.199997,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1205
Kerry Bentivolio,H2MI11133,U.S. House Michigan District 11,R,MI,-1.0,-7.179999799999999,46201.49,0.0,0.0,41101.49,3600.0,11.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,Regular,C,27
Jacob Turk,H6MO05189,U.S. House Missouri District 5,R,MO,-1.0,-31.986250374999997,124450.53,0.0,0.0,123750.0,0.0,75.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,7
Brad Ashford,H4NE02054,U.S. House Nebraska District 2,D,NE,0.0,-5.98,2512188.38,0.0,0.0,1229955.55,1269094.27,48.360001000000004,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,I,366
Steve Lonegan,H8NJ05110,U.S. House New Jersey District 5,R,NJ,-1.0,-5.7979999466666685,1557334.29,0.0,5400.0,467856.13,14900.0,46.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Regular,C,264
Rick Shepherd,H6NV02255,U.S. House Nevada District 2,D,NV,0.0,-13.78,37136.46,0.0,30000.0,6736.46,0.0,21.280001000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,7
Steven Horsford,H2NV04011,U.S. House Nevada District 4,D,NV,0.0,3.8199998999999996,2283287.27,94220.01,2500.0,1306551.83,877796.31,61.740002000000004,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,266
Susie Lee,H6NV04020,U.S. House Nevada District 3,D,NV,1.0,-3.0799999,5087840.82,808211.67,11060.08,3441827.73,818995.35,66.910004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,907
DuWayne Gregory,H6NY02124,U.S. House New York District 2,D,NY,-1.0,-8.2600002,376956.35,0.0,0.0,289533.25,86825.0,41.639998999999996,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,176
Steven Kraus,H8OH09111,U.S. House Ohio District 9,R,OH,-1.0,-19.210243992682926,41064.23,0.0,0.0,36184.0,500.0,49.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,5
Ed Albertson,H6OH12127,U.S. House Ohio District 12,D,OH,0.0,-13.63,27509.82,0.0,2425.95,25067.87,0.0,7.860000099999999,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,25
Art Robinson,H0OR04081,U.S. House Oregon District 4,R,OR,-1.0,-21.680000000000003,204914.49,0.0,0.0,204914.49,0.0,45.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,32
Jo Rae Perkins,H6OR04203,U.S. House Oregon District 4,R,OR,-1.0,-21.680000000000003,14868.29,0.0,795.4,8221.59,0.0,20.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,9
Lindy Li,H6PA07113,U.S. House Pennsylvania District 5,D,PA,0.0,25.540001,516084.63,0.0,0.0,515084.63,1000.0,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,123
Art Halvorson,H4PA09056,U.S. House Pennsylvania District 13,R,PA,-1.0,-45.43,299253.55,0.0,5815.14,93438.41,0.0,15.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,Regular,C,51
Rick Daugherty,H2PA15099,U.S. House Pennsylvania District 7,D,PA,0.0,0.07,22367.27,0.0,218.39,13898.88,8250.0,3.8599998999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,3
Gary Wegman,H6PA16338,U.S. House Pennsylvania District 9,D,PA,0.0,-32.029999,89271.53,0.0,24000.0,15221.53,0.0,31.290001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,6
Dusty Johnson,H8SD01055,U.S. House South Dakota At-large District,R,SD,-1.0,-29.379998999999998,104942.09,0.0,716.09,104225.0,0.0,46.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,Regular,,768
Dusty Johnson,H8SD01055,U.S. House South Dakota At-large District,R,SD,-1.0,-29.379998999999998,1668537.77,0.0,41757.35,1287449.93,333415.79,46.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,Regular,O,768
Steven Reynolds,H6TN04200,U.S. House Tennessee District 4,D,TN,0.0,-41.48,62387.76,0.0,0.0,37961.63,3762.57,17.77,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,32
Shirley McKellar,H2TX01062,U.S. House Texas District 1,D,TX,0.0,-48.73,48199.13,0.0,200.0,46549.13,0.0,61.040001000000004,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,12
Ruby Faye Woolridge,H6TX06203,U.S. House Texas District 6,D,TX,0.0,-16.030001000000002,98005.58,0.0,417.91,82262.67,325.0,36.950001,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,40
James Cargas,H2TX07036,U.S. House Texas District 7,D,TX,-1.0,-6.809999900000001,98636.51,0.0,34900.0,63460.51,0.0,1.96,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,57
Tawana Cadien,H2TX10113,U.S. House Texas District 10,D,TX,0.0,-14.43,6120.63,0.0,0.0,4015.72,2000.0,17.959999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,6
Ava Pate,H6TX18158,U.S. House Texas District 18,R,TX,-1.0,-13.23,10883.41,0.0,4263.41,6620.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,2
Mark Gibson,H4TX22163,U.S. House Texas District 22,D,TX,0.0,-14.81,24584.0,0.0,0.0,12627.0,0.0,10.24,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,10
Francisco Canseco,H4TX28046,U.S. House Texas District 21,R,TX,-1.0,-15.51,22361.49,0.0,236.49,22125.0,0.0,3.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,Regular,O,25
Jan McDowell,H6TX24149,U.S. House Texas District 24,D,TX,0.0,-12.78,108709.32,0.0,0.0,103608.24,0.0,52.470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,43
Raul (Roy) Barrera,H6TX27092,U.S. House Texas District 27,D,TX,0.0,-25.809998999999998,23558.99,0.0,2360.53,16201.0,1100.0,41.23,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,2
Mike Clark,H6TX31045,U.S. House Texas District 31,D,TX,0.0,-17.379998999999998,17365.81,0.0,535.57,16827.56,0.0,11.23,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,16
David McDevitt,H6WA03184,U.S. House Washington District 3,D,WA,-1.0,-8.510000199999999,744392.13,0.0,0.0,32544.73,0.0,,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,26
Craig Keller,H4WA07073,U.S. House Washington District 7,R,WA,-1.0,-7.345000079999997,7204.0,0.0,0.0,7006.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,3
Kelli Ward,S6AZ00233,U.S. Senate Arizona,R,AZ,-1.0,-24.559998999999998,3373275.28,0.0,34386.0,3231207.9,29100.0,28.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Regular,O,2808
Rocky ChÌÁvez,H8CA49124,U.S. House California District 49,R,CA,-1.0,1.42,425255.86,0.0,127438.7,141777.0,16499.0,15.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,Regular,O,116
Brian Goldberg,S4NJ00292,U.S. Senate New Jersey,R,NJ,-1.0,-5.7979999466666685,1697.0,0.0,0.0,0.0,0.0,24.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,7
Lee Bright,H8SC04342,U.S. House South Carolina District 4,R,SC,-1.0,-28.309998999999998,342037.73,0.0,0.0,338641.43,3000.0,24.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Regular,O,124
E.W. Jackson,S2VA00167,U.S. Senate Virginia,R,VA,-1.0,-12.271999649999998,354871.96,0.0,65.0,326659.11,6000.0,11.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,5
Robert Kennedy Jr.,H8AL01066,U.S. House Alabama District 1,D,AL,0.0,-30.68,166845.21,0.0,0.0,39095.21,7750.0,80.769997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,10
Lizzetta Hill McConnell,H8AL01082,U.S. House Alabama District 1,D,AL,0.0,-30.68,5127.0,0.0,0.0,5127.0,0.0,19.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,7
Audri Scott Williams,H8AL02163,U.S. House Alabama District 2,D,AL,0.0,-33.080002,35365.02,0.0,2200.0,33165.02,0.0,39.560001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,21
Tabitha Isner,H8AL02197,U.S. House Alabama District 2,D,AL,0.0,-33.080002,524941.35,0.0,14285.73,501490.57,8605.0,60.439999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,142
Mallory Hagan,H8AL03054,U.S. House Alabama District 3,D,AL,0.0,-33.66,467514.71,0.0,0.0,409309.26,30500.0,65.739998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,285
Adia McClellan Winfrey,H8AL03062,U.S. House Alabama District 3,D,AL,0.0,-33.66,14535.25,0.0,140.0,9614.0,0.0,34.240002000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,8
Rick Neighbors,H8AL04086,U.S. House Alabama District 4,D,AL,0.0,-62.48,21088.35,0.0,0.0,20588.35,500.0,45.869999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,12
Lee Auman,H8AL04094,U.S. House Alabama District 4,D,AL,0.0,-62.48,70425.87,0.0,40.0,61160.87,9225.0,54.130001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,18
Peter Joffrion,H8AL05190,U.S. House Alabama District 5,D,AL,0.0,-34.830002,590173.38,0.0,1156.51,553386.53,29823.41,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,288
Danner Kline,H8AL06099,U.S. House Alabama District 6,D,AL,0.0,-48.459998999999996,287432.23,0.0,818.0,277614.23,9000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,158
Chintan Desai,H8AR01029,U.S. House Arkansas District 1,D,AR,0.0,-34.810001,137153.22,0.0,4597.63,120235.13,12320.46,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,32
Paul Spencer,H8AR02134,U.S. House Arkansas District 2,D,AR,0.0,-13.51,270092.89,0.0,1583.0,265593.99,0.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,228
Clarke Tucker,H8AR02159,U.S. House Arkansas District 2,D,AR,0.0,-13.51,2366991.03,25211.13,200.0,2046047.43,282732.47,57.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,691
Jonathan Dunkley,H8AR02167,U.S. House Arkansas District 2,D,AR,0.0,-13.51,34466.05,0.0,0.0,24466.05,0.0,9.340000199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,16
Joshua Mahony,H8AR03074,U.S. House Arkansas District 3,D,AR,0.0,-34.560001,266234.41,0.0,89906.2,127828.21,6000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,60
Hayden Shamel,H8AR04130,U.S. House Arkansas District 4,D,AR,0.0,-33.68,157247.12,0.0,3576.2,131411.62,12325.88,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,72
Steve Smith,H8AZ01229,U.S. House Arizona District 1,R,AZ,-1.0,-24.559998999999998,438887.91,0.0,0.0,408387.91,30500.0,37.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Regular,C,257
Tiffany Shedd,H8AZ01237,U.S. House Arizona District 1,R,AZ,-1.0,-24.559998999999998,598230.31,0.0,20442.62,288411.69,59752.63,18.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,Regular,C,218
